TransactionID,CustomerID,Firstname,Lastname,ProductID,Product_Name,Product_Category,Product_Quantity,Purchase_Price,Purchase_Date,Country,,
58,158,Matthew,Schwartz,207,Coffee Maker,Home Appliances,5,275.71,2024-03-11,British Indian Ocean Territory (Chagos Archipelago),,
59,159,Jared,Shaw,290,Laptop,Electronics,3,882.81,2024-04-19,Georgia,,
60,160,Thomas,Phillips,278,Tablet,Electronics,5,614.23,2023-09-19,Cyprus,,
61,161,Jesse,Zhang,247,Toaster,Home Appliances,1,499.36,2023-12-04,Reunion,,
62,162,Nicole,Pham,227,Microwave,Home Appliances,4,220,2024-04-16,Egypt,,
63,163,Shelley,Miller,257,Toaster,Home Appliances,3,881.52,2024-01-17,Romania,,
64,164,Justin,Brown,270,Heater,Home Appliances,1,521.46,2024-06-10,Macedonia,,
65,165,Brittany,Murphy,266,Laptop,Electronics,2,722.87,2023-12-14,Brazil,,
66,166,Kevin,Davis,265,Heater,Home Appliances,2,693.7,2023-12-16,Sudan,,
67,167,Jose,Bryant,207,Air Conditioner,Home Appliances,1,102.12,2024-01-29,Kyrgyz Republic,,
68,168,Miranda,Foster,200,Printer,Electronics,2,313.14,2024-04-10,Cuba,,
69,169,Jeff,Graves,269,Air Conditioner,Home Appliances,5,535.61,2023-07-19,Vietnam,,
70,170,Mrs.,Donna White,217,Heater,Home Appliances,3,358.29,2024-04-18,Norway,,
71,171,Jennifer,Haney,248,Washing Machine,Home Appliances,3,258.89,2023-12-17,Trinidad and Tobago,,
72,172,Michael,Stanley,269,Television,Electronics,3,128.36,2023-08-16,Palau,,
73,173,Christopher,Medina,267,Television,Electronics,2,741.22,2023-08-14,Saint Lucia,,
74,174,Nicole,Good,259,Electric Kettle,Home Appliances,5,600.82,2024-03-13,Saint Helena,,
75,175,James,Hall,258,Television,Electronics,3,235.21,2023-11-07,Cape Verde,,
76,176,Shaun,Cannon,204,Smartwatch,Electronics,1,710.94,2024-05-05,Panama,,
77,177,Taylor,Small,230,Smartwatch,Electronics,1,974.55,2023-09-14,Bangladesh,,
78,178,Jill,Powers,206,Microwave,Home Appliances,4,111.56,2023-09-29,Saint Vincent and the Grenadines,,
79,179,David,Robinson,299,Smart Bulb,Electronics,3,474.7,2023-07-17,Burundi,,
80,180,Cynthia,Hendricks DDS,273,Toaster,Home Appliances,2,965.84,2024-02-13,Sierra Leone,,
81,181,Cynthia,Walter,284,Air Conditioner,Home Appliances,1,823.89,2024-01-14,Cyprus,,
82,182,Antonio,Fry,294,Air Conditioner,Home Appliances,1,581.25,2024-06-14,China,,
83,183,Kristi,Williams,244,Headphones,Electronics,2,813.03,2024-06-25,Norway,,
84,184,Joseph,Horton,252,Refrigerator,Home Appliances,2,127.27,2023-08-22,French Southern Territories,,
85,185,Joshua,Allen,228,Electric Kettle,Home Appliances,5,792.83,2023-10-20,Togo,,
86,186,Joel,Brown,252,Router,Electronics,4,456.01,2023-12-04,Micronesia,,
87,187,David,Harris,282,Washing Machine,Home Appliances,5,990.13,2023-07-26,Uzbekistan,,
88,188,Anna,Hardy,224,Electric Kettle,Home Appliances,5,69.63,2023-07-16,Ethiopia,,
89,189,Lindsey,Russo,224,Television,Electronics,2,272,2024-05-03,Senegal,,
90,190,Kristin,Mendoza,242,Headphones,Electronics,2,182.08,2023-10-21,Zimbabwe,,
91,191,Colton,Figueroa,295,Headphones,Electronics,1,414.43,2024-04-13,Lesotho,,
92,192,Michele,Sanders,230,Washing Machine,Home Appliances,1,239.16,2024-01-26,Gibraltar,,
93,193,John,Wong,239,Air Conditioner,Home Appliances,1,690.51,2023-10-05,Guyana,,
94,194,Julie,Lang,292,Electric Kettle,Home Appliances,2,430.89,2023-12-25,Senegal,,
95,195,Dale,Edwards,205,Headphones,Electronics,3,828.36,2024-01-30,Tonga,,
96,196,Alexis,Tran,274,Smartphone,Electronics,2,794.7,2024-02-05,Saint Helena,,
97,197,Craig,Hall,272,Air Conditioner,Home Appliances,1,474.01,2024-05-14,Ecuador,,
98,198,Terri,Morgan,297,Coffee Maker,Home Appliances,3,505.47,2024-05-10,Liechtenstein,,
99,199,Katherine,Jackson,245,Air Conditioner,Home Appliances,1,602.06,2023-08-30,Burundi,,
100,200,Catherine,Preston,282,Toaster,Home Appliances,5,257.86,2023-07-18,Mali,,
101,201,Angela,Meyers,206,Television,Electronics,5,591.25,2024-04-17,Albania,,
102,202,Mark,Jones,219,Smartwatch,Electronics,5,49.83,2023-06-29,Cuba,,
103,203,Antonio,Little,278,Tablet,Electronics,5,654.99,2024-06-14,Liberia,,
104,204,Aaron,Arnold Jr.,267,Microwave,Home Appliances,5,441.53,2024-04-01,Falkland Islands (Malvinas),,
105,205,Alicia,Li,286,Refrigerator,Home Appliances,4,354.48,2023-12-10,Sri Lanka,,
106,206,Brent,Hernandez,224,Toaster,Home Appliances,1,859.16,2024-02-21,Mali,,
107,207,Debra,Sanders,247,Coffee Maker,Home Appliances,4,295.34,2023-11-30,Kuwait,,
108,208,Michael,Evans,210,Heater,Home Appliances,1,460.28,2024-03-05,Togo,,
109,209,Anna,Gray,270,Washing Machine,Home Appliances,3,124.76,2023-12-27,Azerbaijan,,
110,210,Christopher,Porter,255,Heater,Home Appliances,1,661.08,2024-03-02,Slovenia,,
111,211,Shannon,Davis,267,Coffee Maker,Home Appliances,1,195.71,2024-06-16,Armenia,,
112,212,Sean,Clay,260,Electric Kettle,Home Appliances,4,629.15,2023-10-09,Aruba,,
113,213,Diana,Daniels,284,Television,Electronics,3,553.73,2023-07-08,Christmas Island,,
114,214,Tyrone,Matthews,296,Air Conditioner,Home Appliances,4,130.21,2024-05-09,Rwanda,,
115,215,Billy,Martin,230,Headphones,Electronics,3,555.33,2024-02-01,Syrian Arab Republic,,
116,216,Steven,Rivera,296,Refrigerator,Home Appliances,2,992.33,2024-04-08,Burundi,,
117,217,Misty,Mason DVM,206,Tablet,Electronics,1,651.23,2023-08-02,Jordan,,
118,218,Gina,Mack,276,Tablet,Electronics,3,513.78,2023-11-27,Singapore,,
119,219,Donald,Riddle,262,Coffee Maker,Home Appliances,4,980.44,2023-09-22,Guinea-Bissau,,
120,220,Jessica,Frazier,284,Tablet,Electronics,5,153.2,2023-11-20,Belize,,
121,221,Rebecca,Marquez,210,Smart Bulb,Electronics,5,748.83,2023-10-08,Cape Verde,,
122,222,Madison,Singh,240,Laptop,Electronics,3,774.95,2023-11-13,Botswana,,
123,223,Eric,Ward,234,Toaster,Home Appliances,5,274.5,2023-08-04,Bulgaria,,
124,224,Jerry,Peters,252,Smartwatch,Electronics,3,839.1,2023-08-05,Anguilla,,
125,225,Brandon,George,241,Microwave,Home Appliances,4,543.19,2024-05-26,Hungary,,
126,226,James,Miller,271,Toaster,Home Appliances,5,765.24,2024-06-11,Ecuador,,
127,227,Melissa,Jackson,234,Air Conditioner,Home Appliances,3,870.91,2023-10-20,Ethiopia,,
128,228,Christopher,Hill,238,Smart Bulb,Electronics,4,241.23,2023-12-31,Slovenia,,
129,229,Tony,Le,263,Blender,Home Appliances,3,747.26,2024-02-11,New Zealand,,
130,230,Chad,Smith,250,Coffee Maker,Home Appliances,2,500.38,2023-11-02,Tajikistan,,
131,231,Scott,Alexander,255,Headphones,Electronics,5,965.7,2024-05-07,Swaziland,,
132,232,Linda,Evans,277,Refrigerator,Home Appliances,4,108.71,2024-03-22,Cook Islands,,
133,233,Vincent,Novak,237,Blender,Home Appliances,2,415.88,2024-04-06,Puerto Rico,,
134,234,Kenneth,Sanchez MD,250,Laptop,Electronics,4,783.71,2023-11-14,Brazil,,
135,235,Zachary,White,298,Toaster,Home Appliances,5,695.78,2024-01-25,Anguilla,,
136,236,Michael,Gonzales,237,Camera,Electronics,5,386.21,2024-05-13,Puerto Rico,,
137,237,Rebecca,Ortiz,263,Air Conditioner,Home Appliances,5,45.54,2023-08-19,Norfolk Island,,
138,238,Matthew,Espinoza,248,Television,Electronics,3,997.45,2023-07-24,Kiribati,,
139,239,James,Hunter,288,Printer,Electronics,1,762.77,2023-12-05,Mauritius,,
140,240,Heather,Woodard,268,Tablet,Electronics,2,697.06,2024-02-11,Northern Mariana Islands,,
141,241,David,Ortega,221,Smartphone,Electronics,3,798.18,2024-03-03,New Caledonia,,
142,242,Maria,Lucas,296,Toaster,Home Appliances,3,436.38,2023-11-01,South Africa,,
143,243,Brett,Walker,295,Router,Electronics,4,570.27,2024-01-13,Micronesia,,
144,244,Connie,Brooks,259,Headphones,Electronics,2,88.18,2024-04-20,Philippines,,
145,245,Brittany,Cuevas,261,Electric Kettle,Home Appliances,2,502.69,2023-08-05,French Polynesia,,
146,246,Angelica,Guerra,293,Television,Electronics,4,641.53,2023-08-20,Guernsey,,
147,247,Richard,Boyd,244,Washing Machine,Home Appliances,1,899.92,2023-12-27,Bhutan,,
148,248,Jodi,Jones,205,Washing Machine,Home Appliances,5,166.4,2024-05-05,Russian Federation,,
149,249,Greg,Rodriguez,221,Toaster,Home Appliances,5,306.16,2024-06-21,Saint Vincent and the Grenadines,,
150,250,Kristen,Rivera,254,Washing Machine,Home Appliances,4,846.85,2023-12-22,Djibouti,,
151,251,Cody,Davidson,255,Printer,Electronics,4,115.59,2023-11-26,Antarctica (the territory South of 60 deg S),,
152,252,Christina,Vargas,249,Electric Kettle,Home Appliances,3,579.06,2023-06-27,Romania,,
153,253,Paul,Stokes,208,Blender,Home Appliances,4,281.74,2024-02-05,Bosnia and Herzegovina,,
154,254,Chelsea,Nguyen,258,Smart Bulb,Electronics,4,834.51,2023-08-09,Estonia,,
155,255,Kelsey,Fowler,276,Vacuum Cleaner,Home Appliances,5,803.91,2023-11-23,New Caledonia,,
156,256,Hannah,Bruce,279,Television,Electronics,5,258.12,2023-09-01,Suriname,,
157,257,Elizabeth,Mendez,210,Laptop,Electronics,1,315.84,2024-03-13,Burkina Faso,,
158,258,Eric,White,288,Blender,Home Appliances,5,371.21,2023-08-19,Madagascar,,
159,259,Chad,Reyes,223,Laptop,Electronics,3,333.45,2024-01-01,Norfolk Island,,
160,260,Maria,Cooke,271,Microwave,Home Appliances,2,140.84,2023-08-29,Liechtenstein,,
161,261,Ernest,Hayes,206,Heater,Home Appliances,5,914.35,2024-05-27,Guinea-Bissau,,
162,262,Mr. James,Hoffman,283,Smartwatch,Electronics,4,967.71,2024-01-04,Ireland,,
163,263,Michael,Wallace Jr.,272,Toaster,Home Appliances,1,473.65,2023-07-07,South Africa,,
164,264,Andrew,Walker,236,Headphones,Electronics,2,861.54,2023-08-30,Slovakia (Slovak Republic),,
165,265,Patricia,Simpson,265,Heater,Home Appliances,3,99.4,2023-08-08,Montenegro,,
166,266,Joshua,Ritter,269,Blender,Home Appliances,3,541.21,2024-05-10,Saudi Arabia,,
167,267,Jessica,Robinson,254,Toaster,Home Appliances,3,588.71,2023-08-04,Saint Pierre and Miquelon,,
168,268,Danielle,Golden,204,Refrigerator,Home Appliances,2,476.76,2023-12-17,Estonia,,
169,269,Angie,Grimes,215,Electric Kettle,Home Appliances,2,651.18,2024-04-22,Sudan,,
170,270,Oscar,Norris,290,Washing Machine,Home Appliances,4,125.51,2024-02-18,Niue,,
171,271,Charles,Clark,226,Smartphone,Electronics,3,995.97,2024-05-03,Bahamas,,
172,272,Douglas,Ryan,241,Laptop,Electronics,2,888.39,2024-03-25,French Guiana,,
173,273,Tiffany,Robertson,286,Printer,Electronics,4,377.3,2024-05-07,Bhutan,,
174,274,Rachel,Sellers,235,Electric Kettle,Home Appliances,2,886.56,2024-05-27,Palau,,
175,275,Brandi,Thomas,241,Tablet,Electronics,5,414.03,2024-05-12,Egypt,,
176,276,Jenna,Thomas,280,Blender,Home Appliances,3,225.1,2023-10-08,Nigeria,,
177,277,Bernard,Norton,298,Vacuum Cleaner,Home Appliances,3,108.36,2023-08-01,Iraq,,
178,278,Melissa,Wiley,258,Heater,Home Appliances,3,69.94,2024-01-01,Greece,,
179,279,Raymond,Oconnor,293,Vacuum Cleaner,Home Appliances,1,949.52,2023-12-21,Norfolk Island,,
180,280,Sarah,Flynn,250,Refrigerator,Home Appliances,2,645.29,2023-09-18,Japan,,
181,281,Derrick,Clayton,243,Smartphone,Electronics,3,251.13,2024-01-24,Montserrat,,
182,282,Karina,Cooper,287,Smart Bulb,Electronics,2,77.92,2024-04-17,Australia,,
183,283,Richard,Stevens,215,Smart Bulb,Electronics,2,814.92,2024-06-20,Togo,,
184,284,Aaron,Rubio,225,Camera,Electronics,2,790.76,2024-03-19,United States of America,,
185,285,Elizabeth,Baxter,235,Smartwatch,Electronics,2,987.65,2023-08-01,Palau,,
186,286,Jacob,Mckee,221,Microwave,Home Appliances,1,664.45,2023-07-16,Indonesia,,
187,287,Michael,Young,283,Headphones,Electronics,1,364.66,2023-07-31,Romania,,
188,288,John,Anderson,228,Smart Bulb,Electronics,3,25.62,2024-01-13,Pitcairn Islands,,
189,289,Michael,Montoya,254,Blender,Home Appliances,2,744.3,2024-03-21,Bulgaria,,
190,290,James,Cross,213,Laptop,Electronics,4,453.79,2023-08-05,Germany,,
191,291,Breanna,Ayala,296,Heater,Home Appliances,5,117.96,2024-05-30,Burkina Faso,,
192,292,Brenda,Moreno MD,283,Smart Bulb,Electronics,1,729.97,2023-08-28,Kazakhstan,,
193,293,Lori,Hernandez,252,Air Conditioner,Home Appliances,1,70.22,2024-02-20,Poland,,
194,294,Angelica,Garcia,296,Coffee Maker,Home Appliances,4,689.24,2023-08-12,Myanmar,,
195,295,Victor,Edwards,217,Air Conditioner,Home Appliances,1,900.27,2023-09-30,Falkland Islands (Malvinas),,
196,296,Juan,Greene,277,Electric Kettle,Home Appliances,2,75.03,2023-10-14,Slovakia (Slovak Republic),,
197,297,Ryan,Liu,226,Electric Kettle,Home Appliances,5,552.87,2024-01-13,Netherlands,,
198,298,James,Lucas,230,Coffee Maker,Home Appliances,5,535.25,2024-01-04,Hungary,,
199,299,Mark,Jones,201,Heater,Home Appliances,5,435.9,2023-11-13,Vietnam,,
200,300,Scott,Carroll,246,Router,Electronics,2,435.77,2024-01-24,Pitcairn Islands,,
201,301,Tiffany,Townsend,202,Printer,Electronics,3,829.15,2024-02-09,Bangladesh,,
202,302,Andrew,Brown,250,Coffee Maker,Home Appliances,1,319.42,2024-01-08,France,,
203,303,Pamela,Henderson,251,Washing Machine,Home Appliances,3,954.06,2023-07-28,Northern Mariana Islands,,
204,304,Brittany,Miller,210,Refrigerator,Home Appliances,1,833.45,2024-01-10,Uruguay,,
205,305,Brittney,Murphy,275,Printer,Electronics,1,747.14,2024-02-27,Serbia,,
206,306,Maria,Collins,255,Microwave,Home Appliances,5,69.38,2024-04-04,Zimbabwe,,
207,307,David,Middleton,214,Refrigerator,Home Appliances,4,360.06,2023-12-19,New Caledonia,,
208,308,Maxwell,Barrett,222,Blender,Home Appliances,3,604.41,2023-08-11,American Samoa,,
209,309,Adam,Crawford,244,Refrigerator,Home Appliances,5,512.34,2024-01-15,Malaysia,,
210,310,Deanna,Watson,295,Tablet,Electronics,2,848.8,2024-04-24,Tunisia,,
211,311,Bailey,Yoder,242,Heater,Home Appliances,3,123.74,2024-05-04,Japan,,
212,312,Deborah,Proctor,280,Electric Kettle,Home Appliances,2,809.15,2023-07-25,Luxembourg,,
213,313,Amy,Villarreal,221,Smart Bulb,Electronics,3,38.66,2023-11-15,Cayman Islands,,
214,314,Stephanie,Craig,214,Washing Machine,Home Appliances,3,357.51,2023-09-22,Saint Vincent and the Grenadines,,
215,315,Scott,Smith,205,Headphones,Electronics,5,660.77,2023-12-26,Haiti,,
216,316,Cassidy,Horne,204,Headphones,Electronics,1,100.84,2024-01-26,Spain,,
217,317,Jennifer,Morris,253,Printer,Electronics,4,459.11,2024-06-15,Saint Helena,,
218,318,Blake,Watson,264,Camera,Electronics,3,724.38,2024-03-13,United Arab Emirates,,
219,319,Robert,Jarvis,251,Smartphone,Electronics,2,165.84,2023-07-22,Turkey,,
220,320,Patricia,Collins,211,Laptop,Electronics,3,448.68,2024-01-26,Korea,,
221,321,Eddie,Mueller,294,Air Conditioner,Home Appliances,5,447.62,2024-02-22,Ecuador,,
222,322,Wesley,Cuevas,299,Vacuum Cleaner,Home Appliances,5,122.68,2023-09-09,Saint Martin,,
223,323,Danielle,Smith,252,Refrigerator,Home Appliances,3,681.44,2023-07-05,Djibouti,,
224,324,Ryan,Wiley,242,Heater,Home Appliances,3,54.96,2023-06-26,Senegal,,
225,325,Oscar,Parker,226,Electric Kettle,Home Appliances,1,17.61,2024-01-17,Dominica,,
226,326,Anthony,Shea DDS,211,Vacuum Cleaner,Home Appliances,2,766.52,2023-07-13,Uruguay,,
227,327,Kelly,Haynes,247,Toaster,Home Appliances,1,17.65,2023-12-21,San Marino,,
228,328,Kathy,Walsh,250,Microwave,Home Appliances,2,386.41,2023-07-25,Namibia,,
229,329,Matthew,Anderson,237,Router,Electronics,5,835.02,2023-10-05,Thailand,,
230,330,Jenna,Decker,241,Refrigerator,Home Appliances,4,863.15,2023-10-27,Korea,,
231,331,Tony,Taylor,298,Printer,Electronics,1,465.16,2024-02-08,Botswana,,
232,332,Jerry,Edwards,215,Camera,Electronics,5,434.99,2024-01-20,Guinea-Bissau,,
233,333,Eric,Baker,215,Coffee Maker,Home Appliances,3,124.02,2023-07-31,Cayman Islands,,
234,334,Samantha,Terry,205,Camera,Electronics,2,803.31,2023-09-17,Syrian Arab Republic,,
235,335,Brandon,Wright,245,Toaster,Home Appliances,1,442.34,2023-11-26,Malawi,,
236,336,Debbie,Ewing,203,Television,Electronics,4,592.98,2023-11-30,Timor-Leste,,
237,337,Krista,Davis,213,Printer,Electronics,3,748.35,2024-05-03,South Africa,,
238,338,Antonio,Norman,228,Camera,Electronics,2,85.62,2023-08-15,Congo,,
239,339,Michael,Pace,210,Router,Electronics,5,201.96,2024-02-07,Myanmar,,
240,340,Angela,Osborn,225,Toaster,Home Appliances,2,243.91,2024-06-10,Oman,,
241,341,Anna,Boone,242,Smartwatch,Electronics,2,181.76,2023-08-12,Armenia,,
242,342,Thomas,Hamilton,292,Laptop,Electronics,2,951.78,2023-11-26,Luxembourg,,
243,343,Jeffery,Gomez,223,Air Conditioner,Home Appliances,5,762.28,2023-10-10,Fiji,,
244,344,Amanda,Harvey,231,Electric Kettle,Home Appliances,5,329.98,2024-03-03,French Polynesia,,
245,345,Juan,Brown,235,Microwave,Home Appliances,4,77.6,2023-11-21,Burundi,,
246,346,Stephen,Fox,280,Washing Machine,Home Appliances,3,595.51,2024-05-02,Mauritius,,
247,347,James,Reeves,261,Heater,Home Appliances,1,317.3,2024-01-23,Slovenia,,
248,348,Keith,Morris,234,Blender,Home Appliances,1,375.05,2023-09-03,Anguilla,,
249,349,Alyssa,Cochran,235,Refrigerator,Home Appliances,1,618.86,2023-07-18,Sudan,,
250,350,Pamela,Key,220,Air Conditioner,Home Appliances,5,558.77,2023-08-03,Egypt,,
251,351,Joseph,Moody,294,Tablet,Electronics,5,655.32,2023-07-17,Serbia,,
252,352,Vickie,Price,222,Electric Kettle,Home Appliances,4,506.35,2023-09-02,Dominica,,
253,353,Oscar,Howard,275,Tablet,Electronics,1,812.86,2023-07-06,Romania,,
254,354,Keith,Thomas,224,Refrigerator,Home Appliances,5,649.67,2024-05-15,Sudan,,
255,355,Casey,Johnson,207,Television,Electronics,4,991.08,2023-09-24,Netherlands Antilles,,
256,356,John,Rivera,278,Camera,Electronics,3,918.76,2023-09-12,Sri Lanka,,
257,357,Christopher,Lang,241,Coffee Maker,Home Appliances,3,682.11,2023-07-19,Angola,,
258,358,Sylvia,Schroeder,267,Camera,Electronics,1,336.39,2024-05-25,Haiti,,
259,359,Tom,Foster,212,Washing Machine,Home Appliances,3,726.5,2023-11-03,Gabon,,
260,360,Christopher,Fry,281,Camera,Electronics,1,586.91,2024-01-01,Pakistan,,
261,361,Wayne,Steele,278,Camera,Electronics,3,968.02,2024-04-26,Guinea-Bissau,,
262,362,Robin,Gray,293,Microwave,Home Appliances,5,711.75,2024-03-19,French Polynesia,,
263,363,Aaron,Miles,273,Smartwatch,Electronics,5,382.91,2023-11-25,Thailand,,
264,364,Amanda,Guzman,278,Microwave,Home Appliances,5,102.52,2023-09-19,Northern Mariana Islands,,
265,365,Jon,Rivera,209,Heater,Home Appliances,3,28.05,2023-09-26,Guatemala,,
266,366,Stephen,Davis,290,Microwave,Home Appliances,2,348.32,2024-03-12,Northern Mariana Islands,,
267,367,Jillian,Baker,231,Vacuum Cleaner,Home Appliances,2,999.98,2024-03-21,Bangladesh,,
268,368,Brian,Smith,249,Laptop,Electronics,3,845.98,2023-12-13,Saint Martin,,
269,369,Stacey,Snyder,248,Router,Electronics,5,836.77,2023-11-09,Mauritius,,
270,370,John,Shields,283,Camera,Electronics,5,139.74,2024-04-15,Poland,,
271,371,Benjamin,Singleton,237,Microwave,Home Appliances,2,189.04,2023-07-03,Ghana,,
272,372,Angela,Jackson,248,Tablet,Electronics,1,416.75,2023-08-27,Saint Martin,,
273,373,Stephanie,Davis,276,Tablet,Electronics,5,292.08,2024-02-19,Uganda,,
274,374,Jessica,Valdez,277,Vacuum Cleaner,Home Appliances,5,246.78,2024-06-05,Jordan,,
275,375,Gary,Mccann,252,Vacuum Cleaner,Home Appliances,3,681.52,2024-03-22,Mexico,,
276,376,Kimberly,Guerrero,238,Air Conditioner,Home Appliances,3,780.34,2023-09-26,Bhutan,,
277,377,Joshua,Henry,206,Microwave,Home Appliances,2,803.25,2023-11-13,Afghanistan,,
278,378,Rodney,Weber,261,Smartwatch,Electronics,1,644.77,2023-09-11,Bhutan,,
279,379,Mark,Rowland,260,Heater,Home Appliances,1,714.29,2024-05-18,Brazil,,
280,380,Kaitlin,Jacobson,233,Smartwatch,Electronics,1,765.49,2023-07-31,Norway,,
281,381,Jacob,James,223,Air Conditioner,Home Appliances,5,155.88,2023-12-16,Aruba,,
282,382,Dennis,Hood,272,Refrigerator,Home Appliances,2,818.54,2023-07-19,Canada,,
283,383,Anne,Barnett,269,Blender,Home Appliances,4,62.72,2023-12-03,Saudi Arabia,,
284,384,Antonio,Hughes,266,Vacuum Cleaner,Home Appliances,4,994.58,2023-12-05,Martinique,,
